id,Title,Post Type,Featured,footer_type,best_software_statecity_name,best_software_statecity_image,Status,Author ID,Author Username,Template,Order
,EHR - Andaman And Nicobar,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Andaman-and-Nicobar-Islands-Healthray.webp,default,Andaman And Nicobar,42599,draft,2,healthray,templates/template-ehr-state.php,3
,EHR - Andhra Pradesh,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Andhra-Pradesh-Healthray.webp,default,Andhra Pradesh,42600,draft,3,healthray,templates/template-ehr-state.php,4
,EHR - Arunachal Pradesh,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Arunachal-Pradesh-Healthray.webp,default,Arunachal Pradesh,42601,draft,4,healthray,templates/template-ehr-state.php,5
,EHR - Assam,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Assam-Healthray.webp,default,Assam,42602,draft,5,healthray,templates/template-ehr-state.php,6
,EHR - Bihar,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Bihar-Healthray.webp,default,Bihar,42603,draft,6,healthray,templates/template-ehr-state.php,7
,EHR - Chandigarh,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Chandigarh-Healthray.webp,default,Chandigarh,42604,draft,7,healthray,templates/template-ehr-state.php,8
,EHR - Chhattisgarh,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Chhattisgarh-Healthray.webp,default,Chhattisgarh,42605,draft,8,healthray,templates/template-ehr-state.php,9
,EHR - Dadar And Nagar Haveli,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Dadra-Nagar-Haveli-Daman-Diu-Healthray.webp,default,Dadar And Nagar Haveli,42606,draft,9,healthray,templates/template-ehr-state.php,10
,EHR - Daman And Diu,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Delhi-Healthray.webp,default,Daman And Diu,42607,draft,10,healthray,templates/template-ehr-state.php,11
,EHR - Delhi,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Goa-Healthray.webp,default,Delhi,42608,draft,11,healthray,templates/template-ehr-state.php,12
,EHR - Goa,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Gujarat-Healthray.webp,default,Goa,42609,draft,12,healthray,templates/template-ehr-state.php,13
,EHR - Gujarat,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Haryana-Healthray.webp,default,Gujarat,42610,draft,13,healthray,templates/template-ehr-state.php,14
,EHR - Haryana,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Himachal-Pradesh-Healthray.webp,default,Haryana,42611,draft,14,healthray,templates/template-ehr-state.php,15
,EHR - Himachal Pradesh,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Jammu-and-Kashmir-Healthray.webp,default,Himachal Pradesh,42612,draft,15,healthray,templates/template-ehr-state.php,16
,EHR - Jharkhand,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Jharkhand-Healthray.webp,default,Jharkhand,42613,draft,16,healthray,templates/template-ehr-state.php,17
,EHR - Karnataka,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Karnataka-Healthray.webp,default,Karnataka,42614,draft,17,healthray,templates/template-ehr-state.php,18
,EHR - Kerala,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Kerala-Healthray.webp,default,Kerala,42615,draft,18,healthray,templates/template-ehr-state.php,19
,EHR - Ladakh,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Ladakh-Healthray.webp,default,Ladakh,42616,draft,19,healthray,templates/template-ehr-state.php,20
,EHR - Lakshadweep,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Lakshadweep-Healthray.webp,default,Lakshadweep,42617,draft,20,healthray,templates/template-ehr-state.php,21
,EHR - Madhya Pradesh,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Madhya-Pradesh-Healthray.webp,default,Madhya Pradesh,42618,draft,21,healthray,templates/template-ehr-state.php,22
,EHR - Manipur,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Manipur-Healthray.webp,default,Manipur,42620,draft,23,healthray,templates/template-ehr-state.php,24
,EHR - Meghalaya,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Meghalaya-Healthray.webp,default,Meghalaya,42621,draft,24,healthray,templates/template-ehr-state.php,25
,EHR - Mizoram,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Mizoram-Healthray.webp,default,Mizoram,42622,draft,25,healthray,templates/template-ehr-state.php,26
,EHR - Nagaland,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Nagaland-Healthray.webp,default,Nagaland,42623,draft,26,healthray,templates/template-ehr-state.php,27
,EHR - Orissa,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Odisha-Healthray.webp,default,Orissa,42624,draft,27,healthray,templates/template-ehr-state.php,28
